id,content
09464,ที่รอรถหน้าหมู่บ้านศิรินเทพ9 หลังคาเป็นหลังคาผ้าใบ ค่อนข้างทรุดโทรม อยากให้ช่วยแก้ไข อีกทั้งต้องการทางเดินฟุตบาทที่กว้างขวางกว่านี้ เพราะต้นไม้ขวางทาง อยากให้มีที่ล็อคจักรยานด้วยค่ะ เนื่องจากคนในหมู้บ้านมีการปั่นจักรยานมารอรถ เพราะไม่มีวิน เลยต้องปั่นจักรยานมากันเอง
09465,สวนเกาะกลางใต้ BTS สายสีทองตรงข้ามกับซอยกรุงธนบุรี 7 อยากให้มีการปรับปรุงใหม่ เนื่องจากมีการสร้างรถไฟฟ้าสายสีทอง จึงทำให้สวนพัง และไม่มีไฟส่องสว่างกับทางม้าลาย มีคนข้ามถนนและใช้เส้นทางนี้บ่อยครั้ง
09466,"ปัญหา พอฝนตกหนักนํ้าจึงท่วมบริเวณบ้าน และท่วมเข้าในบ้าน
 ปีนี้ท่วมหนัก พอฝนตกหนักก็ท่วมแล้ว ซึ่งไม่เคยท่วมขนาดนี้"
09467,พอดีบ้านอยู่กับคลองค่ะ ทีนี้พบเจอปัญหาขยะมาหลายปีแล้วค่ะ อยากให้ช่วยหาเจ้าหน้าที่เข้ามาทำเรื่องหน่อย เป็นมานานมากแล้วค่ะอยากให้มีคนมาดูแลนำขยะตรงนี้ออก อยู่มานานสภาพแวนล้อมไม่ค่อยดีเลยค่ะใต้ถุนบ้านเป็นคลองแล้วมีขยะมาตลอดเลย เคยติดต่อหน่วยงานไปหลายปีแล้วไม่มีคนเข้ามาดูแล ขยะตรงนี้อาจจะทำให้ไหลไปเรื่อยแล้วเกิดอุดตัน น้ำไม่ละบายหน้าฝนบ้านน้ำท่วมตลอดเลยค่ะ ท่วมห้องตลอด น่าฝนต้องคอยระแวงน้ำห้องเก็บของอยู่เรื่อยเลยค่ะ
09468,น้ำขัง เป็นหลุมครับ เอาดินมาถมไม่ถึง7วันเป็นเหมือนเดิมครับ
09469,กลุ่มคนพวกได้รับอนุญาติจากเจ้าหน้าที่รึป่าวค่ะ ทำไมถึงปล่อยให้นั่งเล่นหมากลุก ขวางทางเดินแบบนี้ แถมยังสูบบุหรี่ส่งกลิ่นเหม็นมากค่ะ นั่งรอรถเมล์เหม็นมากค่ะ
09470,"รถบรรทุกบางคันติดบังโคลนพลาสติก เลยตัวรถออกมาเยอะมาก
 อาจทำให้เป็นอันตรายต่อรถข้างๆได้ ช่วยดูให้ถูกต้องด้วย"
09471,กองบินตำรวจทำให้น้ำท่วมมาเคหะปล่อยน้ำมาเคหะกม.4 รบกวนช่วยดำเนินการกับกองบินตำรวจกม.5หน่อยครัยปล่อยน้ำมาทำให้การเคหะรามอินทรากม.4 ท่วมร้านขายของทำงานไม่ได้รายได้หดไม่มีตังคนทำงานก็ไม่ทำและตอนนี้ก็ไม่มีการแก้ปัญหาเครื่องสูบน้ำสูบไปก็ทำให้น้ำขึ้นไปอีกเพราะไม่มีการถ่ายเทน้ำจะกองบินตำรวจ
09472,ค้าขาย ขวางทางเท้า และเต้นท์ขวางวิสัยทัศน์การมองเห็นของรถยนต์เข้าออกซอย
09473,ร้านค้ากีดขวางทางเท้าและมีการบังวิสัยทัศน์การมองเห็น
09474,น้ำท่วมผ่านมาเป็นวันแล้วยังไม่ลดเลยค่ะ ปกติตรงนี้จะท่วมแค่ตรงซอย 76 ไม่นานก็ลด แต่ช่วงนี้ท่วมไปถึงปากซอย 78 สองสามวันถึงจะลด เมื่อก่อนท้ายซอยตรงคลองจะมีเครื่องสูบน้ำ แต่ตอนนี้ไม่มีแล้วค่ะ
09475,และผ่านไปอีก คลองเดียวกัน ทะลุอีกที่ เหมือนมีการรุกล้ำลำคลองค่ะ
09476,ซอยรัชดา 30 แยก 1-1 สายไฟระโยงระยาง มีบางจุดที่มีกล่องอะไรไม่รู้ห้อยอยู่ แล้วมีบางจุดที่มีกิ่งไม้เกะกะสายไฟค่ะ กลัวจะเกิดอันตรายค่ะ
09477,คาดว่าเป็นรถของพนักงานบริษัทจอดริมถนนจำนวนมากเกินไปซึ่งเป็นช่วงถนนที่เป็นทางโค้งพอดี ทำให้เวลาจะออกจากซอยเจริญพัฒนา 6 มองไม่เห็นรถบนถนนเสี่ยงต่อการเกิดอุบัติเหตุเป็นอย่างมาก หากมีความจำเป็นต้องจอดรบกวนแจ้งให้เขาลดจำนวนรถที่นำมาจอดและเว้นที่ว่างให้พอมองเห็นรถบนถนนบ้างเวลาจะออกจากซอยลำบากมากๆ
09478,หน้าป้ายรถเมล์ตลาดปัญวิกรณ์ ซอยนวมินทร์ 72 รถเมล์เอกชนสีส้มสาย71 (ต้นสาย) จอดรอผู้โดยสารนานทำให้การจราจรติดขัด เสียการจราจรไป 1 ช่องทำให้รถจราจรเหลือเพียง 2 ช่อง และรถเมล์ที่สัญจรไม่สามารถเข้าประชิดบริเวณป้ายรถเมล์ได้
09479,พื้นที่เกาะกลางมีต้นไม้ยื่นออกมาบนถนนรบกวนมาแก้ไขให้ด้วยครับ
09480,พี่คะหนุขอโทดนะคะหนูก้อรายงานไปแล้วว่า พี่น้องพ่อแม่เขาตายหมดแล้วพอมีทางช่วยเหลือไหมคะ ถ้าไม่มีก้อบอกเลยคะว่าไม่มี เพราะจะได้ไม่ไปถามให้เจ้าหน้าที่รำคาญหนุด้วย ขอโทดด้วยนะคะ ช่วยตอบทีจะได้รุ้ว่าจะต้องทำไงต่อ
09481,"ต้นไม้ริมคลองมันโตจนเข้ามาในบ้านค่ะ อยากให้เจ้าหน้าที่ตัดได้แล้ว พอฤดูฝนใบไม้ร่วงเข้ามาในบ้านเต็มไปหมดเลยค่ะ
 
 ตำแหน่ง: หมู่บ้านธารารมณ์ รามคำแหง 150"
09482,รับเรื่องอยู่ระหว่างดำเนินการตั้งแต่วันที่ 7/7/2022 จนวันนี้วันที่ 2/8/2022 ไม่เห็นมาอะไรคืบหน้าเลย
09483,พบแม่แมว และลูกแมวจร 4 ตัว ต้องการให้หาสถานพักพิงสัตว์ค่ะ
09484,มีการขุดดินบริเวณคลองเพื่อขยายถนนทำให้คลองมีขนาดที่แคบลงและดินที่ขุดขึ้นมาก็ทำให้คลองตื้นขึ้น เมื่อฝนตกหนักทำให้น้ำระบายไม่ได้และคลองไม่มีที่กักเก็บน้ำทำให้น้ำท่วมเข้าบ้านของคนที่มีบ้านอยู่ริมฝั่งคลองได้รับความเดือดร้อนมากๆ
09485,พื้นถนนพังครับ บริเวณทางลงสะพานหัวช้างราชเทวี ฝั่งเข้าสวน ครั้งก่อนเพิ่งก่อปูนหยาบๆเป็นทางขึ้น ไม่ถึงเดือน พังแล้ว
09486,ถนนเลียบคลองทวีวัฒนา ทางเข้าหมู่บ้านพฤษาวิลล์ 85 สะพานเข้ายกสูง รถเข้าออกไม่ได้ ตอนนี้เดือนร้อนมาก อยู่ในส่วนของเขตบางแค
09487,"1.ซ่อมบำรุงถนนในซอยเชื่อมสัมพันธ์11
 
 2.ทำเนินชะลอความเร็วช่วงตัดท้ายซอย 
 (รถใช้ความเร็วเกิน ทำให้เกิดอุบัติเหตุบ่อยครั้ง)"
09488,ขอแจ้งเรื่องป้ายรถเมล์สาย11 ถนนพัฒนาการนะคะ ระหว่างป้ายรพ.เพชรเวช กับป้ายซอยพัฒนาการ1 ช่วงของป้ายมันห่างกันมากเลยค่ะ ไม่ทราบว่าจะสามารถขยับขึ้นมาทางแยกคลองตันอีกได้หรือไม่คะ แถมตรงป้ายซอยพัฒนาการ1 มองเห็นยากมากเลยค่ะ
09489,ขอบคุณมากนะคะ แล้วเรื่องก่อนหน้านี้ติดตามได้ที่ไหนตะ
09490,"ทางเท้าพังหน้าหมู่บ้าน
 รินทร์ทอง 
 ซอยรามคำแหง 190 
 กับซอยรามคำแหง 190/1 เขตมีนบุรี
 หน้าหมู่บ้านพาร์คเวย์ ชาเล่ต์ ค่ะ"
09491,"ต้องการฟุตบาทที่ประชาชนได้ใช้งาน 100% ไม่ใช่เอื้อประโยชน์ต่อบ้านหลังเดียว
 
 บ้านนี้เขตเคยไปเตือนและยังทำซ้ำ หลังเตือนก็ยังวางเพิ่ม และวางลงถนน
 
 อยากให้นำออกทั้งหมดไม่ต้องการให้เอื้อประโยชน์ต่อบ้านเพียงหลังเดียว ฟุตบาทเป็นทางสาธารณะ หากเขตผู้รับผิดชอบยอมให้บ้านหลังนี้ หลังอื่นๆ ก็สามารถทำตามและอ้างได้
 เจ้าหน้าที่ทำแบบนี้ถือว่าละเลยหรือเป็นการละเว้นการปฏิบัติงานหรือเอื้อประโยชน์ให้บางกลุ่มหรือไม่"
09492,ถนนเลียบคลองทวีวัฒนา ทางเข้าหมู่บ้านพฤษาวิลล์ 85 สะพานเข้ายกสูง รถเข้าออกไม่ได้ ตอนนี้เดือนร้อนมาก อยู่ในส่วนของเขตบางแค
09493,แจ้งซ้ำเรื่องเดิมค่ะเพราะยังไม่ได้ดำเนินการให้แล้วเสร็จ..วันนี้รถของบริษัทไทยน้ำทิพย์ก็มาจอดอีกแล้วค่ะ..กีดขวางการจราจรรถติดทั้งซอย
09494,รถบรรทุกวิ่งเวลาห้ามอย่างต่อเนื่อง ไม่มีวี่แววว่าจะโดนจับ 17.44 น
09495,"ต้นไม้อยู่กลางถนน มีหลุมใหญ่มาก รถมักจะตกลงไป ไม่รู้ประโยชน์ของการปลูกต้นไม้ไว้กลางถนนคืออะไร
 เกิดอุบัติเหตุบ่อยมาก
 ลองภามคนแถวนั้นดูได้ ไม่มีใครเห็นด้วยซักคน
 
 อยากให้อาจารย์ชัชชาติและทีมงานลงพื้นที่ไปดูเองจะดีกว่า
 เพราะส่งต่อสำนักสิ่งแวดล้อมก็ได้แต่ตอบปัด ไม่ได้เห็นใจประชาชนอย่างแท้จริง"
09496,น้ำท่วมในซอยหมู่บ้านสิริสุขดอนเมืองช่างอากาศอุทิศ 28 ยังไม่มีท่าทีว่าลดลงเครื่องสูบน้ำในวัดพรหมรังสีที่เคยมาเดินเครื่องสูบน้ำก็ไม่ทำงานมาตั้งแต่เมื่อวานนี้แล้วครับโดยไม่มีการแก้ไขใดๆ
09497,"ที่ประชากรไทยซอย 8
 ในซอยลาดพร้าว 93
 น้ำลงเเล้วค่ะแต่ยังเต็มท่อระบาย
 อยู่นะคะ"
09498,ทางเท้าหน้าฮอนด้า พระราม 3 ถนนนราธิวาส มีห่วงโซ่บนทางเท้า เสียวคนเดินสะดุด หัวทิ่มจริง ๆ มีไวเพื่อประโยชน์ใคร...งง
09499,"รายละเอียด: เครื่องสูบน้ำไม่ทำงาน น้ำในหมู่บ้านยังคงท่วมขังรอการระบาย ตั้งแต่สองทุ่มเมื่อวาน
 
 ตำแหน่ง: รามอินทรา กม.4"
09500,สายอะไรซักอย่างร่วงอยู่ปากซอยพหลโยธิน37 กลางถนนเลยค่ะ
09501,ต้นไม้ทางเข้าหมู่บ้านฮาบิเทียปัญญาอินทรา 1 หล่นใส่กระจกหน้าลด
09502,ถนนทางเข้าซอยลาดกระบัง14/1 ถนนวิ่งได้แค่เลนส์กลาง 2ข้างเป็นหลุมเป็นบ่อ ถ้ามีรถสวนกันต้องขับลงหลุม เคยมีการมาแก้ไขแล้วโดยการเอาดินมากลบหลุม แต่พอรถวิ่งและฝนตก ถนนก็กลับไปเป็นหลุมเหมือนเดิม อยากรบกวนแก้ไขอย่างถาวรด้วยค่า
09503,ยังพบมอเตอร์ไซต์ย้อนศรบริเวณถนนพระราม2ช่วงซอย81จนถึงกลับรถสะพานเกือกม้าไปสมุทรสาครซอย100
09504,"รายละเอียดการแจ้ง
 น้ำท่วมหมู่บ้านศิริสุข เขตดอนเมือง กทม.
 ฝนตกหนักทีไรน้ำขังไม่ต่ำกว่า4-5วัน สัญจรลำบาก น้ำส่งกลิ่นเหม็น จากที่สำนักงานเขตแก้ไขคือเอาเครื่องดันน้ำมาช่วยผลักดันน้ำ2เครื่อง ปัจจุบันยังใช้งานได้แต่เหมือนดันน้ำไม่ไป อยากจะขอความช่วยเหลือเข้ามาตรวจสอบและแก้ไข ฝนตกทีไรไม่ใช่แค่รอระบายแต่ท่วมขังจนตะไคร่ขึ้น"
09505,ทางเท้าบริเวณซอยลาดพร้าว12-14 มีท่อปล่อยน้ำหยดจากอาคารพาณิชย์ลงกลางทางเดิน ทำให้ต้องคอยเดินหลบแต่ก็ยังโดนน้ำกระเด็นใส่อยู่ดีค่ะ บางจุดมีตะใคร่น้ำขึ้นจนเคยมีคนลื่นล้ม อันตรายมากๆ เคยรายงานไปแล้ว1ครั้ง มีอัพเดทรูปเจ้าหน้าที่มาถ่ายรูปตรงจุดที่รายงานแต่ไม่ได้รับการแก้ไขใดๆ รบกวนตรวจสอบด้วยค่ะ
09506,ถนนตรงหน้าหมู่บ้านพฤษชาติ สุขาภิบาล3 เป็นหลุม รวมถึง ถนนฝั่งตรงข้ามด้วย จริงๆถนนเกือบทั้งเส้นของสุขาภิบาล 3 แย่มากๆ ขอให้มาซ้อมด้วย รอบที่แล้วแจ้งก็ยังไม่มีใครมาทำ
09507,น้ำท่วมซอยอ่อนนุช 80 ฝนลงเมื่อไหร่ กลายเป็นทะเล ไปอีกหลายวัน
09508,ขับรถที่ถนนพระรามที่ 3 ช่วงเวลาประมาณ 1 ทุ่ม เลยธนาคารกรุงศรีมามีการเจาะถนนโดยรถเจาะ ไม่มีอะไรกั้นเศษหิน มีเพียงกรวยสีส้ม วางเรียงไว้เท่านั้น โปรดสั่งการให้ผู้ที่เกี่ยวข้องช่วยปิดกั้นเป็นผ้าใบ หรือแผงเหล็กก็ได้ เพราะหากเศษหินที่เจาะกระเด็นมาโดนรถ หรือบุคคล จะเกิดความเสียหาย
09509,"เรื่อง กลิ่นสารเคมีเข้ามาภายในบ้านนานเป็นเวลา1ปี
 
 กลิ่นสารเคมี กลิ่นสีจากอู่รถยนต์ เข้ามาภายในบ้านเป็นเวลานาน มีการโทรเเจ้งและบอกกล่าว เเต่ก็ไม่ได้รับการแก้ไขเท่าที่ควรและยังมีกลิ่นสีเข้ามาภายในบ้านตลอดเวลา หนักๆเลยบริเวณชั้น2 และห้องครัว"
09510,ในซอยลาดพร้าว124 แยก9 ช่วงกลางซอยเช่นกันมีรถยนต์จอดทิ้งข้างทางมาเป็นเวลานานประมาณ 1 ปี เป็นรถเก๋งสภาพค่อนข้างเก่า สีขาว-เทา หมายเลขทะเบียน 2ธ9392กรุงเทพมหานคร
09511,ปัญหาเรื่องการจอดรถขวางการสวนเข้าออกของซอยงามวงค์35 (พงษ์เพชรพัฒนา) ยังไม่สามารถแก้ไขได้ รถที่ทางตำรวจได้ให้ไปสั่งแล้วก็ยังจอดอยู่เหมือนเดิม ไม่เปลี่ยนพฤติกรรม ขอความกรุณาทางเจ้าหน้าที่ช่วยหามาตราการการจัดการปัญหาในซอยนี้ด้วยนะคะ ออกใบสั่งก็ไม่ได้ประสิทธิภาพค่ะ เจ้าของรถหลายๆคันยังไม่สนใจ ยังจอดเหมือนเดิมทำให้ รถในซอยไม่สามารถสวนทางเข้าออกตามในรูปได้ค่ะ
09512,หมู่บ้านพูนสินธานี 3 ฝนตกทีไร น้ำท่วมขัง ตั้งแต่หน้าหมู่บ้าน รถเล็กไม่สามารถออกไปทำงานได้เลยคะ
09513,"1.ปิดที่กลับรถบริเวณหน้าฉลองกรุง 17 ในช่วงเวลาคับขัน จากการสังเกตจะปิดบริเวณกลับรถช่วงเวลาคนเลิกงาน ซึ่งเรากลับรถไม่ได้ ทำให้ต้องตรงขึ้นไปกลับรถที่นิคมอุตสาหกรรมลาดกระบังอีกประมาณ 5 กิโลกว่าจะได้กลับ ซึ่งรถติดมาก เพิ่มความแออัดในถนนนิคมฯ เข้าไปอีก แค่จะกลับรถ ลำบากมากค่ะ
 2.หน้าฉลองกรุง 17"
09514,น้ำท่วมในซอย ทาวอินทาวน์ซอย8 ค่ะ และมีเศษปูนเต็มถนน ทำไมมอเตอไซส์เกือบล้มค่ะ
09515,บ้านซอยข้างๆ ปล่อยท่อน้ำทิ้งจากหลังคามาลงซอยข้างๆซึ่งติดกับที่จอดรถออฟฟิศครับ
09516,ทำไมสวนเบญจกิตติถึงห้ามสุนัขเข้าวันเว้นวัน ยามบางคนให้เข้าได้ แต่ยามอีกคนห้ามเข้า ทั้งๆที่ส่วนที่เราเข้า มันอย์่นอกรั้วสวนหลักอีกที เจ้าของหมาส่วนมากก็เก็บสิ่งปฏิกูลกลับบ้านเรียบร้อย และหมาจรจัดเข้าได้ตามสะดวก ตอนนี้ส่วนเดียวที่สามารถเดินได้มีแค่สะพานเขียวกับสวนจัดสั้นๆที่ไม่พอเพียง ฝากดูแลเรื่องนี้นะคะ
09517,บริเวณซอยเจริญกรุง109เข้าซอยไป20เมตรด้านซ้ายมือซึ่งเขตบางคอแหลมเองก็รับว่ามีการสร้างผิดแบบขอให้ทำการตรวจสอบ
09518,1. หลังจากพื้นที่ท้ายซอยดมดินเพิ่มทำให้เวลาฝนตกน้ำขังทุกครั้ง สร้างความลำบากในการสัญจรไปมาพอสมควรครับ หนักเข้าหน่อยก็ท่วมเข้ามาถึงหน้าบ้าน อยากให้หน่อยงานที่เกี่ยวข้องเข้ามาดูแลเรื่องการระบายน้ำครับ
09519,รถติดหนักเป็นประจำตรงหน้าห้างเอ็มคลอเทีย โดนเฉพาะเวลาเร่งด่วนและเสาร์อาทิตย์ รถที่ออกมาจากห้าง พยายามที่จะเลี้ยวขวาเพื่อเข้าซอยสุขุมวิท 24 อยากให้มีกรวยกั้นทางไม่ให้รถออกจากห้างเลี้ยวขวา ปัญหาตรงสามแยกไฟแดงรถติดหนักมาก ที่จริงควรจะห้ามรถทุกชนิดเลี้ยวขวาเข้าซอยสุขุมวิท 24 ให้ใช้วิธีไปกลับรถข้างหน้าเพื่อเข้าซอยดีกว่าครับ ช่วยตรวจสอบและหาทางแก้ไขด้วยครับ
09520,ซอยเฉลิมพระเกียรติ ร.9 28 แยก4 ไม่มีท่อระบายน้ำ ในซอยนี้มี 4 หมู่บ้าน
09521,อยากให้มาดูจัดสันทางเดินสำหรับให้คนเดินหน่อยค่ะ ถ้ารีบๆคือไม่สามารถเดินบทฟุตบาทได้ค่ะ
09522,เนื่องจากข้าง รพ.วิภาวดีก่อสร้างทำถนน ทำให้ย้ายป้ายรถเมล์ไกลออกไป และสร้างแบบขอไปที เวลาฝนตก จะหลบในก็ไม่ได้ จะวิ่งไปหลบในโรงพยาบาลก็ไกลเกิน ฝากพิจารณาด้วยค่ะ เพราะส่วนมาก ผดส.ลงรถแล้วจะข้ามสะพานลอยไปใั่งสถานีรถไฟบางเขน
09523,ทำไมต้องส่งเรื่องใหม่ เมื่อภาพมันฟ้องแล้วว่าไฟส่งสว่างไม่มี ภาพมันดูมืดมิด
09524,ซอยเอกมัย 12 เมื่อฝนตก น้ำท่วมขัง และระดับน้ำขึ้นสูงเร็วมาก ไม่สามารถระบายได้ จนท่วมเข้ามาในบ้านพักอาศัย เมื่อสังเกตตอนน้ำลด ในท่อน้ำก็ยังคงมีน้ำเต็ม และไม่เคยลอกท่อ
09525,ซอยเอกมัย 12 เมื่อฝนตก น้ำท่วมขัง และระดับน้ำขึ้นสูงเร็วมาก ไม่สามารถระบายได้ จนท่วมเข้ามาในบ้านพักอาศัย เมื่อสังเกตตอนน้ำลด ในท่อน้ำก็ยังคงมีน้ำเต็ม และไม่เคยลอกท่อ
09526,"กำแพงกั้นระหว่างบ้านกับคลองถล่มทำให้มีน้ำท่วมถึงหน้าบ้านครับ
 ทางหมู่บ้านแจ้งว่าได้มอบเป็นพื้นที่สาธารณะประโยชน์แล้วครับ ให้ติดต่อทางเขตครับเข้ามาดูแลครับ"
